ANO,MES,DIA NUMERO,HORA,GEOHASH
2018,1.0,20.0,9.0,9u8dh
2017,1.0,7.0,21.0,9u8dn
2016,1.0,5.0,14.0,9u8dr
2016,4.0,22.0,22.0,9u8cc
2016,12.0,5.0,17.0,9u2zg
2017,12.0,19.0,20.0,9u8dk
2017,10.0,6.0,13.0,9u8dh
2018,1.0,29.0,21.0,9u89u
2018,6.0,3.0,11.0,9u8dn
2017,4.0,6.0,9.0,9u8dh
2016,4.0,12.0,9.0,9u8dt
2016,5.0,25.0,16.0,9u8dp
2016,9.0,16.0,1.0,9u8dk
2018,5.0,25.0,17.0,9u89v
2017,3.0,16.0,8.0,9u8de
2016,12.0,12.0,11.0,9u89v
2016,2.0,11.0,13.0,9u8dh
2016,10.0,10.0,11.0,9u89g
2016,5.0,12.0,15.0,9u8dy
2016,9.0,13.0,12.0,9u8dm
2017,8.0,21.0,21.0,9u8d7
2016,9.0,3.0,19.0,9u89w
2018,6.0,2.0,19.0,9u2zu
2018,5.0,25.0,15.0,9u89y
2016,7.0,18.0,18.0,9u8dm
2016,5.0,17.0,20.0,9u8dh
2016,9.0,22.0,15.0,9u8dj
2016,8.0,11.0,21.0,9u8f2
2017,4.0,23.0,19.0,9u8dj
2017,5.0,13.0,10.0,9u8dj
2016,4.0,26.0,14.0,9u8d5
2017,9.0,8.0,16.0,9u8ck
2016,11.0,8.0,5.0,9u8f8
2017,4.0,30.0,19.0,9u8dp
2018,2.0,26.0,16.0,9u8cf
2018,5.0,21.0,13.0,9u8dm
2018,3.0,2.0,14.0,9u8d4
2017,9.0,21.0,17.0,9u8dg
2016,10.0,4.0,9.0,9u8dq
2017,10.0,22.0,21.0,9u3jt
2017,2.0,17.0,12.0,9u8ds
2018,3.0,23.0,16.0,9u8dh
2016,6.0,21.0,18.0,9u8dx
2017,2.0,15.0,21.0,9u8dy
2018,1.0,11.0,17.0,9u89g
2017,12.0,5.0,16.0,9u8de
2016,4.0,8.0,8.0,9u8dj
2017,12.0,25.0,9.0,9u89u
2016,1.0,21.0,18.0,9u89w
2017,8.0,12.0,21.0,9u89v
2016,3.0,21.0,11.0,9u8dw
2016,5.0,25.0,15.0,9u8dw
2016,6.0,10.0,6.0,9u8dn
2016,7.0,29.0,18.0,9u8dq
2018,5.0,28.0,17.0,9u8dh
2016,2.0,8.0,14.0,9u8dr
2016,7.0,24.0,18.0,9u8cb
2017,9.0,4.0,8.0,9u8d5
2016,8.0,29.0,23.0,9u89v
2018,4.0,16.0,22.0,9u89w
2016,10.0,7.0,14.0,9u89y
2018,2.0,26.0,7.0,9u8dh
2016,10.0,28.0,23.0,9u8dp
2016,8.0,30.0,23.0,9u2zu
2017,11.0,9.0,19.0,9u8d4
2018,4.0,10.0,8.0,9u8dk
2017,12.0,20.0,19.0,9u8dr
2017,1.0,26.0,11.0,9u8dh
2017,5.0,4.0,12.0,9u8d4
2016,8.0,13.0,10.0,9u8dr
2016,7.0,20.0,18.0,9u8dj
2016,6.0,27.0,11.0,9u8dn
2016,1.0,29.0,21.0,9u89g
2016,6.0,14.0,22.0,9u8dk
2018,3.0,10.0,17.0,9u8dk
2016,9.0,6.0,22.0,9u8dn
2016,5.0,2.0,13.0,9u8dq
2017,11.0,25.0,13.0,9u8d1
2017,3.0,20.0,8.0,9u8bb
2018,1.0,27.0,15.0,9u8dt
2017,5.0,19.0,13.0,9u8dr
2018,4.0,7.0,10.0,9u8ce
2017,8.0,8.0,18.0,9u8dx
2017,8.0,17.0,8.0,9u89u
2018,3.0,11.0,15.0,9u8cf
2016,7.0,8.0,12.0,9u8dr
2016,5.0,5.0,6.0,9u8cb
2017,6.0,28.0,10.0,9u8dh
2016,7.0,22.0,7.0,9u8dj
